抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字７,数字B1,数字B2
2024-01-12,3,5,7,10,17,18,35,2,21
2024-01-19,15,20,21,22,23,26,34,6,10
2024-01-26,3,4,10,13,15,18,22,2,16
2024-02-02,3,20,29,32,33,34,35,2,24
2024-02-09,6,8,19,20,27,32,37,13,33
2024-02-16,2,14,15,20,28,30,34,3,4
2024-02-23,1,4,6,14,16,19,31,12,18
2024-03-01,9,13,15,18,22,24,30,6,27
2024-03-08,3,6,9,11,19,30,36,1,33
2024-03-15,3,5,18,25,28,35,37,7,8
2024-03-22,6,8,16,18,19,34,37,15,30
2024-03-29,8,18,20,29,30,33,34,5,23
2024-04-05,12,15,17,22,30,34,35,5,9
2024-04-12,1,3,9,12,25,26,35,29,31
2024-04-19,13,26,27,29,30,34,37,2,23
2024-04-26,1,2,4,19,21,26,28,3,25
2024-05-03,11,12,18,19,23,26,31,15,25
2024-05-10,4,5,13,16,22,23,35,36,37
2024-05-17,2,12,18,20,25,28,30,9,23
2024-05-24,11,13,14,18,19,23,31,7,27
2024-05-31,11,13,19,25,29,36,37,18,30
2024-06-07,2,15,19,20,22,31,36,13,23
2024-06-14,7,19,23,33,34,35,36,5,10
2024-06-21,4,13,14,15,17,27,33,2,11
2024-06-28,3,8,10,15,18,23,37,17,24
2024-07-05,5,7,22,29,30,32,36,-3,-33
2024-07-12,1,5,8,9,20,30,37,-11,-26
2024-07-19,10,11,12,17,23,30,36,-20,-21
2024-07-26,6,11,13,14,16,27,34,-12,-25
